Major Code,Major Minor Desc,Cip Code,Major Minor Intrnl,Major Minor Both,Begin Dte,End Dte,Perkins Prog,Degr Code,Requires English,Teach Eligible,Institut Division Code,Goid,Gainful Employment,Med Dent Int Res,Part Of Teacher Prep Program,Idd Support Program,Ministry Related,Approwversion,User Name,Job Name,Job Time
HTAMN,Hotel & Tourism Mgt. Minor,520901,Y,N,,,N,,Y,N,B,152117,N,N,N,N,N,7472787466,VVALENTINE,w_def_major_minor,2010-10-15 07:45:18.016,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
INST,Interdisciplinary Studies,,N,M,,2014-08-18 19:00:00.000,N,,N,N,,152118,N,N,N,N,N,7472787467,SSTATEN,w_def_major_minor,2014-08-20 12:08:43.720,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
INTDA,Interdisciplinary Studies - Adult,300000,Y,M,2014-08-31 19:00:00.000,,N,,Y,N,SH,152119,N,N,N,N,N,7472787468,tculberson,w_def_major_minor,2014-09-11 11:55:23.776,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
INTDS,Interdisciplinary Studies - Traditional,300000,Y,M,2014-08-18 19:00:00.000,,N,,Y,N,SH,152120,N,N,N,N,N,7472787469,tculberson,w_def_major_minor,2014-09-11 11:55:23.776,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
JOUMN,Journalism Minor,,N,N,,2010-10-14 19:00:00.000,N,,Y,N,,152121,N,N,N,N,N,7472787470,LESTES,w_def_major_minor,2012-10-24 05:46:49.376,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
JOUR,Journalism,,N,M,,2010-10-14 19:00:00.000,N,,Y,N,,152122,N,N,N,N,N,7472787471,LESTES,w_def_major_minor,2012-10-24 05:46:49.376,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MASCO,Mass Communications,90102,Y,M,2012-10-23 19:00:00.000,,N,,Y,N,SH,152123,N,N,N,N,N,7472787472,LESTES,w_def_major_minor,2012-10-24 05:49:54.036,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MATH,Mathematics,270301,Y,M,,2020-07-31 19:00:00.000,N,BS,Y,N,S,152124,N,N,N,N,N,7654327256,GMITCHELL,w_def_major_minor,2024-06-07 07:34:30.506,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MATMN,Mathematics Minor,,Y,N,,,N,,Y,N,S,152125,N,N,N,N,N,7472787474,LESTES,w_def_major_minor,2012-10-24 05:49:02.516,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MIS,Management Inform Systems,,N,M,2010-08-31 19:00:00.000,2010-10-14 19:00:00.000,N,,Y,N,,152126,N,N,N,N,N,7472787475,LSJUSTICE,w_def_major_minor,2010-12-02 06:43:16.100,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
